episode,step,mode,q1,q2,d1,d2,height,E,KE,U,E_tilde,ddq2_des,u_cont,action,M11,M12,C1,C2,G1,G2,terminated
0,1,swing,-0.007764280227444657,-0.023741061564849147,-0.25169676542282104,0.3100071847438812,-1.9994736058967852,-19.558795414165747,0.034837760740074775,-19.593633174905822,-39.15879541416575,20.0,1.0,2,3.99971819423463,1.499859097117315,-0.0007115852008483118,-0.0007519424605340177,0.2684844100246689,0.15435063743025812,0
0,2,swing,-0.06837732807752009,0.0704934297699457,-0.3390108048915863,0.6062498688697815,-1.9976609422480662,-19.53941016832011,0.05771511022557804,-19.59712527854569,-39.13941016832011,20.0,1.0,2,3.997516366933275,1.4987581834666375,0.001532371381863927,0.004047491772278946,0.9939947615539076,-0.010368890554429171,0
0,3,swing,-0.13617658114640274,0.20584736263621065,-0.3208775222301483,0.7132154107093811,-1.9883162616181536,-19.460187068513495,0.1054507241681177,-19.565637792681613,-39.0601870685135,20.0,1.0,2,3.9788881378405394,1.4894440689202697,-0.005208706110838367,0.010522586115197758,1.6545038596594508,-0.34111071336485277,0
0,4,swing,-0.18959177313872394,0.34181283195479606,-0.19862030446529388,0.6160341501235962,-1.970517979037882,-19.33371451311673,0.11830960047310188,-19.45202411358983,-38.933714513116726,20.0,1.0,2,3.942148560687289,1.4710742803436445,-0.02258955094830515,0.00661173743836336,2.0273265656662063,-0.7430060158762445,0
0,5,swing,-0.21096546971473845,0.4417917551252122,-0.008597398176789284,0.3655768632888794,-1.951306885349597,-19.192422460011375,0.08751189280100864,-19.279934352812383,-38.79242246001138,20.0,1.0,2,3.903987032107909,1.4519935160539545,-0.027227103254503136,1.5801598641738997e-05,1.9572080454633558,-1.1210316625792798,0
0,6,swing,-0.17958778471175316,0.4504983279527402,0.31563159823417664,-0.27470529079437256,-1.9474450342918979,-19.081725997206213,0.06240387365077839,-19.144129870856993,-38.681725997206215,-0.7719383823795729,0.03802996534809289,1,3.900230235073173,1.4501151175365865,0.021324049644173598,0.021688700901643074,1.3144893241383473,-1.311283517248261,0
0,7,swing,-0.07735540198771337,0.3049678859734761,0.6837133169174194,-1.1460165977478027,-1.9712174819494637,-19.078596055404258,0.10627521029277619,-19.184871265697033,-38.678596055404256,-20.0,-1.0,0,3.9538565956988627,1.4769282978494314,0.038094245238200264,0.07018094969080775,0.03029474710118385,-1.105695936167553,0
0,8,swing,0.08077016002945663,0.014376339488415015,0.8565011024475098,-1.6847467422485352,-1.9922168491241063,-19.00608219695774,0.42357717742852974,-19.42965937438627,-38.60608219695774,-20.0,-1.0,0,3.999896662211289,1.4999483311056445,0.00034216880423033197,0.005273017549349781,-1.6515455273604567,-0.46551473210456706,0
0,9,swing,0.24604238307979642,-0.33239616805266287,0.7500205039978027,-1.6934823989868164,-1.9661577896240359,-18.80798366360873,0.7219295601927034,-19.529913223801433,-38.40798366360873,-20.0,-1.0,0,3.9452631668119307,1.4726315834059653,0.05344771138433879,-0.09177941653490483,-3.157833619547146,0.42260785961103514,0
0,10,swing,0.3640856150172101,-0.6306461191881461,0.40090492367744446,-1.2306228876113892,-1.8991323751416802,-18.465886620263383,0.6731493701459701,-19.139035990409354,-38.065886620263385,-20.0,-1.0,0,3.807646681942317,1.4038233409711585,0.15558566893709375,-0.0473870201454514,-3.943863050901312,1.290733399619033,0
0,11,swing,0.3987834127850395,-0.8085389327227963,-0.060716599225997925,-0.5267578363418579,-1.8387523210791623,-18.092742570785436,0.3706137123052867,-18.46335628309072,-37.69274257078544,-20.0,-1.0,0,3.6905559289229277,1.3452779644614639,0.12347808459655801,-0.0013331859738213822,-3.7558863177733737,1.9520869817595243,0
0,12,swing,0.3180607732241427,-0.7767292489130442,-0.7297646999359131,0.834780216217041,-1.8464864794671998,-17.852354808260607,0.1885654866855399,-18.040920294946147,-37.45235480826061,20.0,1.0,2,3.7132099832292473,1.3566049916146237,-0.18278273126391353,-0.18664786264583233,-2.4275627263938278,2.1694975306077255,0
0,13,swing,0.11741486433986803,-0.4846894943408085,-1.2383344173431396,2.0338921546936035,-1.9264242081144354,-17.845509860604384,0.5107416465369616,-18.356251507141344,-37.44550986060439,20.0,1.0,2,3.884819666792753,1.4424098333963764,-0.20980060326135064,-0.35724812579989074,0.03742306293398445,1.7594584602809826,0
0,14,swing,-0.15521324772291303,0.00021535741356215225,-1.416719913482666,2.682591676712036,-1.975990443571435,-17.757922738657346,1.4140808267638887,-19.172003565421235,-37.35792273865735,20.0,1.0,2,3.9999999768105923,1.4999999884052961,4.3573695036734856e-05,0.00021612142604744017,3.028936841702448,0.7564522729713496,0
0,15,swing,-0.4161225576552155,0.5242807627003309,-1.1197490692138672,2.419269323348999,-1.908819741171782,-17.45292520004883,1.9116181270815948,-19.364543327130427,-37.05292520004883,20.0,1.0,2,3.8656842088628816,1.4328421044314408,-0.10885713725216983,0.3138296913134993,5.413046603853099,-0.5289425165158884,0
0,16,swing,-0.5806323302206347,0.9272595744240516,-0.4929673373699188,1.5548944473266602,-1.776639828934174,-16.848545466897306,1.468370037447337,-18.316915504344642,-36.44854546689731,20.0,1.0,2,3.600028514480903,1.3000142572404516,-0.353859496367512,0.09720411962728469,6.399060209666261,-1.6646651831002373,0
0,17,swing,-0.6070663604527559,1.134898970774437,0.22911690175533295,0.509885311126709,-1.6852258058812333,-16.24966616622446,0.6498053115817273,-16.899471477806188,-35.849666166224466,20.0,1.0,2,3.4222240168797695,1.2111120084398848,-0.22373557628437002,0.023792934381365417,5.9178241958434725,-2.4679443690823297,0
0,18,swing,-0.47314406086981825,1.0737928281453253,1.0850045680999756,-1.1150559186935425,-1.7151091015521476,-15.945290452728887,0.3613017313784116,-16.3065921841073,-35.54529045272889,-20.0,-1.0,0,3.4767937128234836,1.2383968564117418,0.5170067902573092,0.5174037024034328,3.9292304076927986,-2.7693712458084065,0
0,19,swing,-0.18662090925370559,0.6948635182663578,1.734903335571289,-2.6308443546295166,-1.8562378766617376,-15.957493098048772,1.1699133218565307,-17.127406419905302,-35.557493098048774,-20.0,-1.0,0,3.768141095553414,1.384070547776707,0.7066070441013768,0.9635869667575336,0.34288183383422455,-2.3845494284090782,0
0,20,swing,0.19407664030949304,0.061759717504904194,1.9771138429641724,-3.522557258605957,-1.948678157371699,-15.911149631331622,2.8142565931926242,-18.725406224524246,-35.51114963133162,-20.0,-1.0,0,3.9980934747614563,1.4990467373807281,0.046925568520987726,0.12063200279361593,-4.075018413541344,-1.2399677020771116,0
0,21,swing,0.557112923379161,-0.6207128769197474,1.5523405075073242,-3.108098268508911,-1.8467633577119886,-15.586208663858503,3.5783307489067937,-19.164539412765297,-35.18620866385851,-20.0,-1.0,0,3.8134640433382447,1.4067320216691224,0.003088713995005765,-0.7007768375455682,-7.461017367634261,0.31142972007398445,0
0,22,swing,0.7867477480318402,-1.1336580499517868,0.7079724073410034,-1.9738528728485107,-1.64657951520166,-14.729567388749375,2.6376675645518386,-17.367234953301214,-34.329567388749375,-20.0,-1.0,0,3.423348575708288,1.211674287854144,0.4988382381765806,-0.22704659222167617,-8.742518822772402,1.665969606847499,0
0,23,swing,0.8340388735671431,-1.4042693149277028,-0.23516802489757538,-0.7272095680236816,-1.5136664514833122,-13.8757803052166,1.1127473226061646,-14.988527627822764,-33.4757803052166,-20.0,-1.0,0,3.165758411440833,1.0828792057204164,0.4294097011006097,-0.027269472987647377,-8.242423305773041,2.645147611730594,0
0,24,swing,0.6796798880330469,-1.3709633716900778,-1.279970407485962,1.064827561378479,-1.5482023579821904,-13.464339590267297,0.537146573730289,-14.001486163997585,-33.064339590267295,20.0,1.0,2,3.1985056129052225,1.0992528064526113,-0.7801779254798036,-0.8028605917095242,-6.115717955029383,3.123880042631588,0
0,25,swing,0.33695639802322147,-0.9759892331325809,-2.102031946182251,2.8732612133026123,-1.7464382684421076,-13.51957703802397,1.688799354269113,-15.208376392293083,-33.11957703802397,20.0,1.0,2,3.5603489889767,1.28017449448835,-1.5835205039650995,-1.829841775962308,-1.9376027988166324,2.9224550762519463,0
0,26,swing,-0.1360146988768499,-0.24780281087616762,-2.5284600257873535,4.232391834259033,-1.9180061320905677,-13.544716332310202,4.261731116465235,-17.806447448775437,-33.1447163323102,20.0,1.0,2,3.96945367578247,1.484726837891235,-0.42797042549171005,-0.7840333777473295,3.8281253350143327,1.8348684271992022,0
0,27,swing,-0.615782555180642,0.5967809312645849,-2.128538131713867,3.928098440170288,-1.8161411695493859,-13.351277824968017,5.756441896459867,-19.107719721427884,-32.95127782496802,20.0,1.0,2,3.827148958476667,1.4135744792383336,0.3631131421717537,1.2730804576141606,8.58378583733006,0.09310235433676746,0
0,28,swing,-0.948130814387644,1.2544284716609826,-1.1490654945373535,2.599308490753174,-1.5366589689350498,-12.333330335892015,4.565714005638088,-16.899044341530104,-31.933330335892016,20.0,1.0,2,3.3111167326926965,1.1555583663463482,-0.37200078316679086,0.6274123585672258,10.463703745042825,-1.4775003734714707,0
0,29,swing,-1.0674328742319206,1.637047875637246,-0.0387522354722023,1.234398365020752,-1.324483198875267,-11.13228575736317,2.1127276608137473,-13.245013418176917,-30.732285757363172,20.0,1.0,2,2.933796906486424,0.9668984532432121,-0.7124674956526019,0.0007492205996383684,10.234078013474722,-2.642608602476831,0
0,30,swing,-0.9501031487305477,1.7000608339809191,1.1881258487701416,-0.6130437254905701,-1.3133168951850716,-10.499417759047462,0.7178202950613815,-11.217238054108844,-30.099417759047462,-2.316834280096815,-1.0,0,2.8710951790247674,0.9355475895123837,0.5359527033224942,0.6999328265217775,8.6182116438233,-3.339878211090825,0
